PUBMEDID	Acronym	Agency	Country	GrantID
22159054	AG;HG;MH	NIA NIH HHS;NHGRI NIH HHS;NIMH NIH HHS	United States	K24-AG027841;R01-AG09029;R01 AG009029;U19 AG010483;R01-AG025259;R01 AG008122;P30-AG10129;R01 HG005092;P30-AG13846;P30 AG013846;R01-HG005092;R01 AG033193;K24 AG027841;R01 AG020688;R01 HG002213;K01 MH076100;5R01AG020688;R01 AG025259;R01-HG02213;P30 AG010129
22665904	CA;GM	NCI NIH HHS;NIGMS NIH HHS	United States	P50 CA102701;T32 GM007739;P50 CA 102701;GM07739
22140272	Missing Acronym	Missing Agency	Missing Country	Missing ID
23527680	DA	NIDA NIH HHS	United States	R00DA023549
23291587	ImNIH	Intramural NIH HHS	United States	Z99 AR999999;Z99 HG999999
23459936	ES;HL;Missing Acronym;AG;Missing Acronym;HG;DE;RR	NIEHS NIH HHS;NHLBI NIH HHS;PHS HHS;NIA NIH HHS;NHGRI NIH HHS;NIDCR NIH HHS;NCRR NIH HHS	United States	P30 ES010126;R01HL59367;HSN268201100012C;HHSN268201100007C;HHSN268201100011C;N01AG62101;1R01AG032098-01A1;HHSN268200625226C;R01 ES014843;U01HG004402;R01DE11551;HHSN268201100009C;N01AG62103;P30ES010126;R01HL086694;UL1RR025005;HHSN268201100008C;R01DE021418;R01HL087641;HHSN268201100005C;HHSN268200782096C;HHSN268201100006C;N01AG62106;HHSN268201100010C;R01HL74104
23455491	MH;DA;AA;NS;HG;MRC_;WT_;CA;RR	NIMH NIH HHS;NIDA NIH HHS;NIAAA NIH HHS;NINDS NIH HHS;NHGRI NIH HHS;Medical Research Council;Wellcome Trust;NCI NIH HHS;NCRR NIH HHS	United States;United Kingdom	R01 MH061675;R01 DA016750;R01 AA012044;R01NS45012;R01MH60870;R01MH62873;R01MH059160;R01MH59566;R01 MH059587;U01 HG004436;U01MH79470;U01HG004438;R01 MH062873;R01 NS045012;U01MH79469;U01 HG004438;R01MH59588;U10AA008401;U01 HG004446;K01 DA029643;G0601030;R01MH81800;R01MH61675;075491/Z/04;R01MH59571;U01 MH046276;P60 AA011998;R01MH59586;P01 CA089392;U01HG00444;R01 MH067257;U01HG004422;P60AA011998;R01 MH060870;R01 MH081800;R01DA013423;R01MH081803;R01 MH059571;HHSN268200782096C;R01 MH059565;R01MH67257;R01DA016750;U01 HG004422;R01MH60879;R01 DA013423;R01MH59587;U01 MH079470;U01 MH046289;U01HG004436;R01 MH059566;R21 AA020319;U10 AA008401;R01AA013320;R01 MH059588;U01 MH046318;R01MH59565;U01MH46282;M01RR165001;R01 MH060879;R01 AA013320;R01 AA016015;R01 DA012468
19268274	AR;AG;AA	NIAMS NIH HHS;NIA NIH HHS;NIAAA NIH HHS	United States	R01 AR050496-01;R01 AG026564;R21 AG027110;P50 AR055081;R21 AA015973
22952603	HG;DA	NHGRI NIH HHS;NIDA NIH HHS	United States	HG006265;DA007255;T32 DA007255;R01 HG002585;DA024845;R21 DA024845;DA02812;K99 HG006265;R01 DA021336;R01 DA002812;R00 HG006265
22423221	HL;ImNIH;AG;HG;WH;RR;CA;HC	NHLBI NIH HHS;Intramural NIH HHS;NIA NIH HHS;NHGRI NIH HHS;WHI NIH HHS;NCRR NIH HHS;NCI NIH HHS	United States	HHSN268201100009I;Z01 AG000513;R01 HL087698;HHSN268201100010C;HHSN268201100007C;HHSN268201100011I;R01 AG032098;N01HC95095;1K23HL105897-01;U01 HL072518;U01 HG005157;HHSN268201100007I;N01HC45204;R01 HL087641;U01 HG005152;N01WH22110;UL1 RR025005;N01 AG062101;P30 CA015704;HHSN268201100005G;N01HC48049;N01HC45205;R01 HL059367;HHSN268201100011C;R01 HL086694;U01 HG004402;U01 HG004424;K23 HL105897;N01 AG062106;N01HC95170;HHSN268200782096C;HHSN268201100006C;R01 HL71862-06;HHSN268201100005I;N01 AG062103;N01 HC045134;R01 HL071862;N01HC65226;N01HC48050;N01HC05187;HHSN268201100009C;N01HC48047;HHSN268201100005C;N01HC95171;N01HC48048;N01HC95172
23518928	GM;CA;HG	NIGMS NIH HHS;NCI NIH HHS;NHGRI NIH HHS	United States	U19 GM061388;U19 GM61388;P50 CA166201;R01 GM028157;R01 CA133049;U01 HG005137;R01 CA138461;R01 CA132780;R01 GM28157
23042114	Missing Acronym	Missing Agency	Missing Country	Missing ID
22675492	CA;BCN_;CRUK_	NCI NIH HHS;Breast Cancer Now;Cancer Research UK	United States;United Kingdom	R03 CA128034;P01 CA087969;CA87969;CA49449;BREAST CANCER NOW RESEARCH CENTRE;C1287/8459;C1287/A10118;T32 CA009001;R01 CA049449;11022;U01 CA049449;T32 CA 09001
23455637	CA;CRUK_;WT_;ImNIH	NCI NIH HHS;Cancer Research UK;Wellcome Trust;Intramural NIH HHS	United States;United Kingdom	R01 CA092824;P30CA023108;C8216/A6129;WT084766/Z/08/Z;CA87969;P30 CA023108;A4994;CA83115;C37059/A11941;Missing ID;P30 CA016520;R01 CA088363;A10589;CA055075;R01 CA133996;R01 CA083115;CA100264;R01 CA65558-02;CA49449;076113;CA88363;R01 CA122838;C588/A10589;C588/A4994;P50 CA093459;R01 CA100264;2P50CA093459
18227835	DA;Missing Acronym	NIDA NIH HHS;PHS HHS	United States	P60 DA005186;P60 DA005186-210018;P60 05186
20534544	Missing Acronym	Missing Agency	Missing Country	Missing ID
19259986	Missing Acronym	Missing Agency	Missing Country	Missing ID
21378095	MD;WH;BHF_;MRC_;HB;HC;HL;HG;DK;WT_;ImNIH;HD	NIMHD NIH HHS;WHI NIH HHS;British Heart Foundation;Medical Research Council;NHLBI NIH HHS;NHGRI NIH HHS;NIDDK NIH HHS;Wellcome Trust;Intramural NIH HHS;NICHD NIH HHS	United States;United Kingdom	MD002249;N01WH42124;RG/07/008/23674;G19/35;N01WH32102;N01-HB-72992;G8802774;N01-HC-25195;N01-HB-97068;N01-HB-97053;N01-HB-72997;N01-HB-73003;N01-HC-45205;N01-HC-95162;MC_U137686857;N01WH22110;N01WH42112;N01-HC-05187;N01-HC-55017;N01WH42119;U01 HL053934;N01WH32112;G0100222;N01-HC-85085;N01-HB-97064;RG/08/008/25291;N01-HC-48047;N01WH32119;N01WH32105;N01WH42132;N01-HC-85081;U01-HL080295;N01WH42121;N01WH42113;N01-HC-95163;N01WH42125;N01-HC-55016;N01-HC-95168;MC_QA137934;G0801056;MC_U123092720;N01-HB-73002;R01 HL088120;HL086718;MC_U127561128;N01-HB-97056;N01-HB-72982;U01 HL053941;N01-HC-45204;N01-HB-72993;N01-HB-73000;N01-HC-95159;N01WH32106;U01 HL063429;N01WH42129;N01-HC-95095;N01-HC-95165;N01WH42108;G0902313;U01 HL077813;N01-HB-97085;N01WH42118;N01-HC-55021;N01-HC-85086;U01 HL064360;G0902037;N01WH444221;N01-HB-73005;N01WH32113;N01-HC-48050;N01WH42120;N01WH32118;HG003054;N01-HC-85082;N01WH42131;N01-HB-73006;N01-HC-35129;N01WH42109;MC_U123092721;N01-HC-45134;N01 HC-55222;N01-HC-55019;P30 DK072488;N01-HB-97066;N01-HB-97071;G0600705;G0401527;N01WH42114;U01 HL063463;N01-HC-55015;N01WH42107;N01-HC-95164;HL074166;N01-HC-95169;HL087660;N01WH32122;N01-HB-72995;U01 HL053937;N01WH32111;N01-HB-97062;N01-HC-48049;N01-HB-97051;N01WH42130;N01-HC-85083;N01WH42117;N01-HC-55020;N01-HB-73001;N01-HC-85080;N01-HB-97060;G9521010;G1000143;090532;N01-HC-75150;N01-HC-95160;N01 HC-15103;G0701863;N01WH42115;G0400874;N01-HC-95171;Missing ID;N01-HB-97073;N01-HB-97054;N01-HB-72994;N01WH42111;HL100245;N01-HC-95172;RG/08/014/24067;R01 HL46380-01-16;N01WH32108;N01-HB-72991;N01-HC-95100;N01WH42122;N01-HB-97072;U01 HL053916;N01-HC-45133;N01-HC-85079;N01-HC-95161;HL086694;U01 HL053938;N01-HB-97058;N01WH32100;N01-HC-48048;N01WH42123;N01-HB-72996;R24 HD050924;N01-HC-55018;N01-HC-95166;N01-HB-97061;N01-HB-73004;MC_U106179471;MC_U106188470;N01-HB-72998;N01WH32115;N01-HC-95170;N01-HC-85084;N01-HB-97069;N01-HC-65226;N01WH42110;N01WH24152;N01-HC-95167;N01WH42126;N01WH42116
22116812	Missing Acronym	Missing Agency	Missing Country	Missing ID
21041247	MH;MRC_;ImNIH	NIMH NIH HHS;Medical Research Council;Intramural NIH HHS	United States;United Kingdom	R01MH-086026;K01 MH072866;G1000708;K01 MH072866-01;R01 MH086026;Missing ID
18849993	Missing Acronym	Missing Agency	Missing Country	Missing ID
21540310	Missing Acronym	Missing Agency	Missing Country	Missing ID
20039944	MRC_;WT_;HD	Medical Research Council;Wellcome Trust;NICHD NIH HHS	United Kingdom;United States	G0500079;GR084728;075492;R01 HD046167;GR75492;G0500079(73692);HD46167;G19/2
21353194	Missing Acronym	Missing Agency	Missing Country	Missing ID
18587394	DK;WT_;MRC_;AI;CSO_	NIDDK NIH HHS;Wellcome Trust;Medical Research Council;NIAID NIH HHS;Chief Scientist Office	United States;United Kingdom	DK62413;U01 DK062413;068545/Z/02;DK064869;U01 DK062432;U01 DK062429;U01 DK062422;G0800759;U01 DK062420-06;U01 DK062423;DK62423;U01 DK062420-04;U01 DK062429-07;P30 DK063491-05;U01 DK062422-07;P30 DK040561;U01 DK062420-05;DK62431;R01 DK064869-04;U01 DK062413-06;P30 DK063491-039004;DK62429;DK62420;U01 DK062420-01;U01 DK062423-06;U01 DK062420-02;DK62422;AI06277;P30 DK063491-029004;CZB/4/540;R01 AI062773;G0000934;P30 DK063491-019004;U01 DK062420-03;P30 DK063491-049004;R01 AI062773-02;DK62432;U01 DK062431-06;G0600329;P30 DK040561-13
17558408	WT_;MRC_	Wellcome Trust;Medical Research Council	United Kingdom	068094;G0000934;068545/Z/02;GR068094MA
21529783	DA;AA	NIDA NIH HHS;NIAAA NIH HHS	United States	DA019951;R01 AA014041-05;AA13320;R01 AA007728;AA13321;R56 DA012854;AA17688;AA07728;AA11998;R01 DA012854;K08 DA019951;R01 DA012854-08;AA14041;R01 AA013320-04;P60 AA011998-12;R01 AA007535;R01 AA007535-08;K05 AA017688;K08 DA019951-05;K05 AA017688-03;P50 AA011998;R01 AA013321;R01 AA013321-05;R37 AA007728-20;R01 AA013320-05
19260139	MRC_	Medical Research Council	United Kingdom	MC_U127561128
17634447	Missing Acronym	Missing Agency	Missing Country	Missing ID
17767159	MRC_;WT_	Medical Research Council;Wellcome Trust	United Kingdom	G0000111;Missing ID
21386085	MH;HL;RR;HC;HG;DK;WT_	NIMH NIH HHS;NHLBI NIH HHS;NCRR NIH HHS;NHGRI NIH HHS;NIDDK NIH HHS;Wellcome Trust	United States;United Kingdom	R01 MH063706;R01-HL-086694;M01RR00425;N01-HC-55015;N01-HC-85079;RL1 MH083268;N01-HC-85084;N01HC55020;5R01-HL-087679-02;HL-087660;R01 HL087698;N01HC55018;R01 HL087647;N01-HC-85085;5R01-HL-087698;UL1 RR025005;1RL1-MH-083268-01;U01 HL080295;R01 HL087679;N01-HC-55022;N01-HC-85081;R01 HL059367;R01 HL087660;U01-HL-075572;R01-HL-087641;N01 HC015103;N01-HC-55016;5R01-MH-63706:0;R01 HL086694;U01 HL075572;R01-HL-087652;U01-HL-080295;HL-087700;1RL1MH083268-01;R01 HL087652;U01 HG004402;N01HC55022;N01HC55222;N01-HC-85086;N01HC55015;N01HC85086;U01HG004402;L1-RR-025005;N01-HC-85082;R01-HL-59367;P30 DK063491;N01-HC-55019;HL-0877700;N01-HC-55222;N01-HC-85083;N01-HC-55020;N01-HC-85080;N01HC55016;090532;N01-HC-75150;NC01-HC-55021;M01 RR000425;N01HC55019;N01HC75150;N01HC85079;N01HC55021;R01 HL087641;DK-063491;N01-HC-55018;N01 HC045133;R01 HL087700;5R01-HL-087647;N01 HC035129
17903293	HL;AG;RR;HC	NHLBI NIH HHS;NIA NIH HHS;NCRR NIH HHS	United States	R01 HL071039;R01 HL076784;K23 HL083102;AG028321;M01 RR001066;HL064753;1K23 HL083102;2 K24HL04334;K24 HL004334;AG14759;1S10RR163736-01A1;N01HC25195;N01-HC25195;M01-RR-01066;HL71039;R01 AG028321
19043545	Missing Acronym	Missing Agency	Missing Country	Missing ID
17401366	Missing Acronym	Missing Agency	Missing Country	Missing ID
18179892	MRC_;WT_	Medical Research Council;Wellcome Trust	United Kingdom	G0400874;G0501942;G106/1216;076113/B/04/Z
17903294	HL;RR;HC	NHLBI NIH HHS;NCRR NIH HHS	United States	N01HC25195;1S10RR163736-01A1;N01-HC-25195
21355061	HL;HB;CA;HC;RR;AG;DK;BHF_;MRC_;DH_;GM;HG;FWF_;ImNIH;WT_;CRUK_	NHLBI NIH HHS;NCI NIH HHS;NCRR NIH HHS;NIA NIH HHS;NIDDK NIH HHS;British Heart Foundation;Medical Research Council;Department of Health;NIGMS NIH HHS;NHGRI NIH HHS;Austrian Science Fund FWF;Intramural NIH HHS;Wellcome Trust;Cancer Research UK	United States;United Kingdom;Austria	R01HL59367;N01-HB-73002;N01HC55020;R01 CA050385;N01-HB-72992;N01-HC-25195;N01-HB-97068;N01-HB-97053;N01-HB-72997;N01-HB-73003;N01-HC-45205;N01-HC-95162;K12 RR023250;N01AG12100;N01-HC-05187;N01HC95160;U01 HL053916;N01HC55018;R01 HL046380;UL1 RR025005;N01 AG062101;R01-HL087660;N01HC95163;U01 HL080295;R01 DK077510;DK007791;P01 CA087969;N01-HC-48047;U01 HL063463;N01-HB-97064;N01HC48049;M01RR00080;Missing ID;N01-HC-85081;N01HC45205;R01 HL059367;R01 HL087660;N01-HC-55022;K12RR023250;R01 HL092577;N01-HC-95163;N01-HC-55016;N01-HC-95168;N01HC95169;MC_U127561128;R01 HL086694;N01-HB-72982;R01 HL092577-01A1;N01 HC085085;N01-HC-45204;N01-HB-72993;N01-HB-97070;P30 DK079637;N01-HB-97056;Missing ID;N01-HB-73000;N01-HC-95159;R01 AG18728;1R01AG032098-01A1;U01 GM074518-04;R01 HL087652;R01-DK-077510;R01 HL076784;N01-HC-95095;U01 HG004402;N01HC55022;N01HC95164;M01 RR 16500;N01-HB-97085;N01 AG062106;U01 HL053938;N01-HC-95165;R01 DK075787;N01HC55222;N01-HC-55021;N01-HC-85086;N01HC55015;N01-DK-62204;N01HC95162;N01HC85086;N01-HB-73005;N01-HC-48050;N01HC95168;U01 HL064360;R01 AG032098;U01 HL084756;HL 46380;N01-HC-85082;1 R01 DK075787-01A1;N01-HB-73006;P30 DK063491;N01HC95170;HHSN268200782096C;N01 HC-55222;N01-HC-55019;P30 DK072488;U01 HL077813;M01RR00425;N01HC95095;N01-HB-97071;N01-HB-97066;R01HL087641;N01-HC-55015;N01 AG062103;N01-HC-95164;N01HC95165;U01 HL053941;N01-HC-95169;N01-HB-72995;N01HC95159;P60 DK079637;N01-HC-48049;N01-HB-97051;R01-HL-071205;N01-HB-97062;N01HC95161;N01 HC045134;N01-HC-55020;N01-HB-73001;N01-HC-85080;N01-HB-97060;N01-HC-95160;N01HC65226;P 20545;N01-HC-85083;N01-HC-75150;MC_PC_U127561128;N01HC55016;U01 HL072515;G0701863;M01 RR016500;N01-HC-95171;Missing ID;R01 AG027002;N01-HB-97073;N01-HB-97054;U01 HL053934;M01 RR000425;U01 HL063429;N01HC48050;N01HC55019;T32 DK007791;N01HC85082;N01HC95167;N01-HC-95172;N01-HB-72994;N01 HC085084;N01HC75150;N01HC05187;N01HC48047;N01HC85083;DK066574;N01HC95171;N01HC25195;R01 HL071205;N01-HB-72991;N01-HB-97072;Missing ID;N01-HC-95100;N01-HC-85079;N01-HC-95161;N01HC45204;N01-HB-97058;U01 HL072515-06;U01 HL053937;N01-HC-48048;N01HC85079;N01HC95166;N01-HB-72996;N02-HL-64278;N01-HC-55018;N01HC55021;R01 AG028321;N01-HC-95166;R01 HL087641;N01-HB-97061;M01 RR000080;N01-HB-73004;N01HC85080;R01 DK066574;N01-HC-95170;MC_U106179471;MC_U106188470;N01-HB-72998;R01 AG018728;Missing ID;N01-HB-97069;N01HC48048;N01-HC-95167;R01 HL088119;N01-HC-65226;N01HC95172;N01HC85081;R01HL086694
22233651	Missing Acronym	Missing Agency	Missing Country	Missing ID
18193046	MRC_	Medical Research Council	United Kingdom	G0601966;G0700931
20971583	AR;RR;AI	NIAMS NIH HHS;NCRR NIH HHS;NIAID NIH HHS	United States	R01 AR042460-07S1;P20 RR020143-02;P30 AR053483;P01 AI083194-02;P20 RR020143-03;N01 AR062277;P01 AI083194-01;R37 AI024717-17A1;P20 RR020143-05;P20-RR020143;R37 AI024717-18;N01AR62277;R01 AI045050;P20 RR020143-04;R01-AR42460;P01-AI 083194;R01 AR042460-06A1S1;P01 AI083194-03;R37 AI024717-23;P01-AR049084;R01 AR042460-08;R37-AI24717;N01-AR62277;P20 RR020143-01;P01 AR049084;R37 AI024717-21;R37 AI024717-20;R37 AI024717-19
17767157	MRC_;HG;WT_	Medical Research Council;NHGRI NIH HHS;Wellcome Trust	United Kingdom;United States	G0500070;U01 HG004171;G9815508(74882);076467;072960;076113;G0600705;090532;079557;GR072960
22197933	Missing Acronym	Missing Agency	Missing Country	Missing ID
20197096	EB;AG;DA;HL;MH;RR;HD;NS	NIBIB NIH HHS;NIA NIH HHS;NIDA NIH HHS;NHLBI NIH HHS;NIMH NIH HHS;NCRR NIH HHS;NICHD NIH HHS;NINDS NIH HHS	United States	R01 EB007813;U24 AG021886;1-T90-DA022768:02;K25 HL080079;F31 MH087061;P41 RR013642;U54 RR021813;R01 AG020098;U01 AG024904-05;R01 EB008281;U19 AG010483;M01 RR000865;R01 HD050735;R01 EB008432;1F31MH087061;R01 NS059873;T90 DA022768
21079520	Missing Acronym	Missing Agency	Missing Country	Missing ID
21182207	NS;MH	NINDS NIH HHS;NIMH NIH HHS	United States	P01 NS026630;MH080647;NS26630;R01 MH080647;R01 MH080647-15;P01 NS026630-20
20947153	Missing Acronym	Missing Agency	Missing Country	Missing ID
17997608	AG;MD;Missing Acronym;HG;ImNIH	NIA NIH HHS;NIMHD NIH HHS;PHS HHS;NHGRI NIH HHS;Intramural NIH HHS	United States	N01-AG-821336;R01 MD009164;263 MD 9164 13;263-MA-410953;HG02651;N01-AG-916413;N01-AG-1-2109;R01 HG002651;263 MD 821336;Z99 AG999999
17478681	HL	NHLBI NIH HHS	United States	R01 HL082896;R01 HL082896-02;HL-066681;HL-082896
19508998	Missing Acronym	Wellcome Trust	United Kingdom	Missing ID
21408207	AR;RR;HL;AI;CA	NIAMS NIH HHS;NCRR NIH HHS;NHLBI NIH HHS;NIAID NIH HHS;NCI NIH HHS	United States	RC1 AR058621-01;R01 AR043814-13;KL2 RR024130;K24 AR002213;AR043815;R01 HL054900;M01-RR000056;AR052300;HL088648;R01 AR052300;AI024717;AR043727;U54 RR020278;R01 CA141700-01;M01 RR-000052;R01 AR046588;R01 AI063274;M01 RR000079;R01 AR057028;P20 RR020143;AI068759;N01AI95386;N01 AR012256;R56 AI063274;M01 RR000056;HL074165;P30 AR053483;AR044804;AR042460;AR043247;AR052125;R01 AI068759-05;N01 AR062277;R01 AR052125;HL092397;R37 AI024717;R01 AR042460;M01 RR000052;R01 AI024717;R01 HL074165;R01 AR043727;R01 HL088648;R01 HL092397;K24 AR002175;M01 RR-000079;AR02175
18193043	MRC_;HG;ImNIH;WT_;DK	Medical Research Council;NHGRI NIH HHS;Intramural NIH HHS;Wellcome Trust;NIDDK NIH HHS	United Kingdom;United States	MC_U137686857;N01HG65403;Z01 AG000235-01;076113;G9815508;R01 DK072193;N01-HG-65403);R01 DK029867;G0600705
18576341	Missing Acronym	Missing Agency	Missing Country	Missing ID
22291604	Missing Acronym	Missing Agency	Missing Country	Missing ID
21390209	AG	NIA NIH HHS	United States	U01 AG024904;U19 AG010483
20062062	AR;RR;MRC_;ImNIH;Missing Acronym;WT_;VAC_;ARC_	NIAMS NIH HHS;NCRR NIH HHS;Medical Research Council;Intramural NIH HHS;PHS HHS;Wellcome Trust;Versus Arthritis;Arthritis Research UK	United States;United Kingdom	R01-AR046208;UL1RR024188;G0800582;Missing ID;M01 RR000425;P01 AR052915;P01-052915;077011;19356;076113;R01 AR046208;G0600705;G9815508;MO1-RR00425;089061
21437268	CA;ES;MRC_;HD	NCI NIH HHS;NIEHS NIH HHS;Medical Research Council;NICHD NIH HHS	United States;United Kingdom	R01 CA092039;P30 ES010126;R01 CA092039 05/05S1;G0801056;R01 ES011740;T32 CA009142;G0401527;R01 CA100679;R24 HD050924;P50 CA097190;G1000143
21244703	NS	NINDS NIH HHS	United States	R01 NS026799
24105470	DK;ES;CA;HL;GM;TW;RR	NIDDK NIH HHS;NIEHS NIH HHS;NCI NIH HHS;NHLBI NIH HHS;NIGMS NIH HHS;FIC NIH HHS;NCRR NIH HHS	United States	DK078150;P30 ES010126;R01 CA082729;UM1 CA173640;HL085144;T32 GM007092;R01 HL085144;DK056350;R01 DK078150;TW005596;RR020649;P20 RR020649;R01 TW005596;P30 DK056350
20038948	Missing Acronym	Missing Agency	Missing Country	Missing ID
17505501	Missing Acronym	Missing Agency	Missing Country	Missing ID
23326517	ImNIH;HC;HL;RR;TR;AG;Missing Acronym;WT_;Missing Acronym;HG;Missing Acronym;DK;CRUK_	Intramural NIH HHS;NHLBI NIH HHS;NCRR NIH HHS;NCATS NIH HHS;NIA NIH HHS;PHS HHS;Wellcome Trust;NHGRI NIH HHS;NIDDK NIH HHS;Cancer Research UK	United States;United Kingdom	Z01 EY000426-05;N01-HC-85082;HHSN268201100005I;ZIA EY000426-09;HL080295;R01HL086694;HHSN268201100012C;UL1RR025005;ZIA EY000401-09;HHSN268201100009I;ZIA EY000401-13;UL1TR000124;N01AG12100;Z99 EY999999;HHSN268201100010C;N01-HC-85085;R01HL59367;UL1 RR025005;R01 AG015928;HHSN268201100008C;U01 HL080295;ZIA EY000401-11;ZIA EY000426-10;HHSN268201100005G;HHSN268201100008I;N01-HC-85081;R01 HL059367;HHSN268201100007C;HL105756;N01 HC015103;ZIAEY000401;ZIA EY000426-13;ZIA AG007380;AG-15928;R56 AG020098;HHSN268201100011I;HHSN268201100011C;R01 HL086694;ZIA EY000426-08;ZIA EY000401-08;085475/B/08/Z;R01 HL087652;AG-20098;UL1 TR000124;N01HC55222;HHSN268200625226C;U01 HG004402;ZIA EY000401-12;N01-HC-85086;Z01 EY000426-04;ZIAAG007380;N01HC85086;R01 HL105756;U01HG004402;AG-027058;ZIA EY000426-11;P30 DK063491;HHSN268201100006C;N01 HC-55222;HHSN268201200036C;R01HL087641;N01-HC-85083;N01-HC-85080;ZIA EY000401-15;090532;N01-HC-75150;R01 HL080295;Z01 EY000401-06;ZIA EY000426-07;R01 AG020098;N01HC75150;ZIA EY000426-12;HHSN268201100009C;N01-AG-12100;HHSN268201100005C;N01-HC-45133;HHSN268201100007I;N01-HC-85079;Missing ID;ZIA EY000426-06;N01-HC-85239;AG-023629;N01HC85079;R01 HL087641;R01 AG023629;085475/08/Z;R01 AG027058;N01 HC045133;ZIA EY000401-14;4584;Z01 EY000401-07;N01 HC035129;R56 AG023629;N01-HC-85084;ZIA EY000401-10
22219177	CA	NCI NIH HHS	United States	CA129684
18978792	MH;MRC_;WT_	NIMH NIH HHS;Medical Research Council;Wellcome Trust	United States;United Kingdom	MH059571;G0000934;R01 MH060870;MH63420;R01 MH059587;MH060879;MH059588;R01 MH059566;MH59566;061858;R01 MH060879;MH59587;R01 MH061675;MH60870;MH59586;MH067257;079895;076113;R01 MH067257;R01 MH059571;R01 MH059565;R01 MH059586;R01 MH063420;R01 MH059588
19767754	CA;RR	NCI NIH HHS;NCRR NIH HHS	United States	P50 CA090386;UL1 RR025741
17848626	RR;DK;HC	NCRR NIH HHS;NIDDK NIH HHS;NHLBI NIH HHS	United States	1S10RR163736-01A1;K23 DK-65978-04;N01-HC-25195;U54 RR020278-01
18594024	Missing Acronym	Missing Agency	Missing Country	Missing ID
15761122	HG;Missing Acronym;MH;RR;EY;Missing Acronym	NHGRI NIH HHS;Intramural NIH HHS;NIMH NIH HHS;NCRR NIH HHS;NEI NIH HHS	United States	K25HG000060;Z99 EY999999;R01MH44292;K01RR16090;R01EY015771;ZIA EY000489-01
20864672	WT_;BHF_;MH;MRC_;DK;Missing Acronym;HL	Wellcome Trust;British Heart Foundation;NIMH NIH HHS;Medical Research Council;NIDDK NIH HHS;NHLBI NIH HHS	United Kingdom;United States	079895;PG/08/094/26019;068545/Z/02;1RL1MH083268-01;G0700931;R01 DK062370;U01 DK062418;G0401527;MC_U105630924;077016/Z/05/Z;G0701863;G0601966;Missing ID;5R01HL087679-02;MC_QA137934;GR069224;G0500539;G0000934;G0801566;MC_U106179471;MC_U106188470
17478679	Missing Acronym	Missing Agency	Missing Country	Missing ID
18940312	MRC_;ImNIH;BHF_	Medical Research Council;Intramural NIH HHS;British Heart Foundation	United Kingdom;United States	G0601966;G0700931;Z01 AG000965;SP/04/002
23358156	HL;DA;MH;HG;RR;AA;DK;CA;Missing Acronym;MRC_;CSO_;HD;BB_	NHLBI NIH HHS;NIDA NIH HHS;NIMH NIH HHS;NHGRI NIH HHS;NCRR NIH HHS;NIAAA NIH HHS;NIDDK NIH HHS;NCI NIH HHS;Wellcome Trust;Medical Research Council;Chief Scientist Office;NICHD NIH HHS;Biotechnology and Biological Sciences Research Council	United States;United Kingdom	R01 HL059367;U01 DA024417;HHSN268201100006C;HHSN268201100005I;R01 MH066140;HHSN268201100007I;R01 HL087641;R37 DA005147;U01 HG004399;HHSN268201100012C;UL1RR025005;R01 DA005147;HHSN268201100009I;R37 AA009367;R01 DK058845;R25 DA026119;U01 HG004446;U01HG004424;R01HL59367;HHSN268201100010C;UL1 RR025005;R01 AA009367;P01 CA087969;HHSN268201100008C;HHSN268201100005G;HHSN268201100008I;HHSN268201100007C;P01 CA055075;092731;R01 AA011886;HHSN268201100011I;HHSN268201100011C;R01 HL086694;DK58845;MC_UU_12013/1;CA87969;ETM/55;G0700704;U01 HG004424;U01HG004399;G0500079;U01 HG004402;CA55075;U01HG004402;MC_PC_15018;R01 HD050735;R01HL087641;HHSN268201100009C;HHSN268201100005C;G9815508;CZB/4/505;BB/F019394/1;R01HL086694;R01 DA013240;MR/K026992/1
21307088	Missing Acronym	Missing Agency	Missing Country	Missing ID
19862010	DK;HL;MRC_	NIDDK NIH HHS;NHLBI NIH HHS;Medical Research Council	United States;United Kingdom	P30 DK063491-05;U01 DK066174;R01 HL086694;G0000111;R01 HL086694-01A1;P30 DK063491-039004;R01 HL086694-03;P30 DK063491-029004;P30 DK063491-019004;P30 DK063491-049004;K24 DK078737;R01 HL086694-02
17952075	Missing Acronym	Missing Agency	Missing Country	Missing ID
17998437	WT_;MRC_	Wellcome Trust;Medical Research Council	United Kingdom	081864;G0300429;G9810900
21326295	AR	NIAMS NIH HHS	United States	R01 AR056292-01;R01 AR045584;AR45584;R01 AR056292-03;R01 AR056292-04;R01 AR056292-02
22180457	Missing Acronym	Missing Agency	Missing Country	Missing ID
21242121	Missing Acronym	Missing Agency	Missing Country	Missing ID
21502085	HD;Missing Acronym;Missing Acronym	NICHD NIH HHS;PHS HHS;Intramural NIH HHS	United States	1 R01 HD41224;HHSN26120080001E;Missing ID
17846125	Missing Acronym	Intramural NIH HHS	United States	Missing ID
23665963	RR;DK;TR	NCRR NIH HHS;NIDDK NIH HHS;NCATS NIH HHS	United States	UL1 RR033176;UL1RR033176;U01 DK062413;P30 DK063491;P01-DK046763;P01 DK046763;UL1 TR000055
20543847	CRUK_;WT_;DH_;MRC_	Cancer Research UK;Wellcome Trust;Department of Health;Medical Research Council	United Kingdom	10589;068545/Z/02;Missing ID;079643;11022;G0700491;G0000934;10118;A9345
